model_group,paper_table_group,rank_within_group,model_id,display_name,category,miou,checkpoint_kind,checkpoint_identifier,checkpoint_loader,checkpoint_source_location,checkpoint_source_url,repro_script,result_source_csv
classical,Appendix classical table,1,rf_pixel,RF (pixel features),metallography_learned,0.6327,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
classical,Appendix classical table,2,svm_pixel,Linear SVM (pixel features),metallography_learned,0.6251,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
classical,Appendix classical table,3,gmm_rgb,GMM-RGB,baseline,0.6022,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
classical,Appendix classical table,4,gabor_kmeans,Gabor+KMeans,texture,0.5699,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
classical,Appendix classical table,5,kmeans_rgb,KMeans-RGB,baseline,0.5611,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
classical,Appendix classical table,6,slic_cluster,SLIC+KMeans,contour_region,0.5012,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
classical,Appendix classical table,7,felzenszwalb_cluster,Felzenszwalb+GMM,contour_region,0.4788,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
classical,Appendix classical table,8,lbp_kmeans,LBP+KMeans,texture,0.4164,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
classical,Appendix classical table,9,sobel_watershed,Sobel+Watershed,edge,0.3575,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
classical,Appendix classical table,10,canny_watershed,Canny+Watershed,edge,0.3481,none,none,No pretrained checkpoint (classical algorithm fit on the full AMAM-128 pair set),scikit-learn / scikit-image classical methods executed in repro/benchmark/run_benchmark.py,https://scikit-learn.org/stable/ ; https://scikit-image.org/docs/stable/,repro/benchmark/run_benchmark.py,repro/results/classical/benchmark_summary.csv
deep_general,Appendix deep-general table,1,dl_deeplabv3p_effb0,DeepLabV3+ (EfficientNet-B0),context-atrous,0.5876,pretrained_encoder,timm/efficientnet_b0.ra_in1k,"smp.create_model('DeepLabV3Plus', encoder_name='tu-efficientnet_b0', encoder_weights='imagenet')",timm universal encoder weights (imagenet) loaded through segmentation_models_pytorch,https://huggingface.co/timm/efficientnet_b0.ra_in1k,repro/benchmark/run_deep_survey.py,repro/results/deep_survey/deep_general_summary.csv
